Crop Name,Scientific name,Seed Code,soil_type,irrigation_source,fertilizer_used,seed_type,weather_condition,ownership_type,loan_taken,insurance_status,pesticide_usage,last_sowing_date,expected_harvest_date
Chickpea,Cicer arietinum L.,200400000001,Laterite,Canal,NPK,Local,Normal,Sharecropped,Yes,Not Enrolled,Medium,2024-07-21,2024-11-10
Cowpea,Vigna unguiculata (L.) Walp. ssp. unguiculata and Vigna unguiculata (L.) Walp. ssp. sesquipedalis (L.) Verdc. (L.) Walp.,200500000001,Laterite,Canal,NPK,Hybrid,Dry Spell,Sharecropped,No,Enrolled,Low,2024-08-16,2024-12-05
Pea,Pisum sativum L.,200601000001,Red,Drip,Urea,Local,Normal,Owned,Yes,Enrolled,Medium,2024-10-21,2025-02-20
Horse Gram,Macrotyloma uniflorum (Lam) Verdc.,200700000001,Red,Drip,DAP,Certified,Normal,Sharecropped,Yes,Enrolled,High,2024-10-10,2025-02-21
Khesari,Lathyrus satirus L.,200800000001,Red,River,Organic,Hybrid,Excess Rain,Leased,Yes,Not Enrolled,None,2024-08-22,2024-11-26
Moth Bean,Vigna aconitifolia (Jacq.) Marechal.,201000000001,Black,None,Vermicompost,Hybrid,Dry Spell,Leased,Yes,Enrolled,Medium,2024-08-27,2025-01-02
Mungbean,Vigna radiata (L.) Wilczek,201100000001,Alluvial,Tube Well,Organic,Certified,Dry Spell,Leased,No,Not Enrolled,High,2024-09-16,2025-01-10
Field Pea,Pisum sativum L.,201101000001,Arid,Drip,DAP,Local,Flood,Leased,No,Not Enrolled,Low,2024-07-09,2024-12-06
Garden pea,Pisum sativum L.,201102000001,Red,Drip,Organic,Certified,Flood,Sharecropped,Yes,Enrolled,Low,2024-09-24,2024-12-30
PIgeon Pea,Cajanus cajan (L.) milsp,201200000001,Arid,River,Vermicompost,Hybrid,Flood,Leased,No,Enrolled,None,2024-09-22,2025-01-23
Black Gram,Vigna mungo (L.) Heppper,201400000001,Alluvial,None,NPK,Certified,Dry Spell,Owned,No,Not Enrolled,High,2024-10-10,2025-02-25
Kidney Bean,Phaseolus vulgaris,201800000001,Laterite,Rainfed,Compost,Certified,Excess Rain,Sharecropped,No,Not Enrolled,Low,2024-10-11,2025-02-21
Sugar Beet,Beta vulgaris L.,300100000001,Red,Tube Well,Vermicompost,Hybrid,Flood,Sharecropped,No,Enrolled,Medium,2024-06-13,2024-10-24
Sugarcane,Saccharum L.,300200000001,Black,River,Urea,Certified,Excess Rain,Owned,Yes,Enrolled,None,2024-07-02,2024-11-08
Ajwain,Trachyspermum ammi L.,400100000001,Alluvial,Drip,DAP,Local,Excess Rain,Owned,Yes,Enrolled,Medium,2024-10-04,2025-01-21
Black Pepper,Piper nigrum L.,400400000001,Laterite,None,DAP,Certified,Flood,Owned,No,Not Enrolled,High,2024-09-20,2024-12-31
Chilli,Capsicum annuum L.,400700000001,Arid,River,DAP,Local,Excess Rain,Sharecropped,No,Enrolled,Low,2024-06-20,2024-11-04
Coriander,Coriandrum sativum L.,401000000001,Laterite,River,Vermicompost,Local,Excess Rain,Owned,Yes,Not Enrolled,Medium,2024-08-25,2025-01-16
Cumin,Cuminum cyminum L.,401100000001,Arid,River,Compost,Hybrid,Dry Spell,Sharecropped,Yes,Not Enrolled,Medium,2024-09-17,2025-01-27
Fennel,Foeniculum vulgare Mill.,401400000001,Alluvial,Rainfed,Vermicompost,Hybrid,Excess Rain,Leased,No,Not Enrolled,Medium,2024-06-05,2024-10-17
Fenugreek,Trigonella foenum graecum L.,401500000001,Alluvial,Drip,Vermicompost,Hybrid,Excess Rain,Leased,Yes,Enrolled,Low,2024-07-11,2024-10-27
Garlic,Allium sativum L.,401600000001,Laterite,Rainfed,Vermicompost,Hybrid,Normal,Leased,No,Enrolled,Medium,2024-10-11,2025-02-23
Ginger,Zingiber officinale Rosc.,401700000001,Alluvial,None,NPK,Certified,Excess Rain,Owned,Yes,Enrolled,Low,2024-07-21,2024-12-05
Nutmeg,Myristica fragrans hout.,402100000001,Black,Tube Well,Compost,Local,Dry Spell,Owned,No,Enrolled,Low,2024-09-14,2024-12-23
Small Cardamom,Elettaria cardamomum M.,402200000001,Laterite,Rainfed,Vermicompost,Hybrid,Normal,Leased,Yes,Not Enrolled,High,2024-09-15,2025-02-07
Turmeric,Curumma longa L.,402400000001,Arid,Canal,Organic,Certified,Excess Rain,Sharecropped,Yes,Enrolled,High,2024-09-18,2025-02-10
Acid Lime,Citrus aurantifolia Swingle,500100000001,Arid,Drip,NPK,Hybrid,Flood,Owned,No,Enrolled,Medium,2024-08-30,2024-12-02
Apple,Malus domestica Borkh,500400000001,Arid,Canal,DAP,Local,Dry Spell,Owned,No,Not Enrolled,None,2024-06-01,2024-10-09
Apricot,Prunus armeniaca L.,500500000001,Laterite,Canal,Compost,Certified,Excess Rain,Leased,Yes,Not Enrolled,Medium,2024-10-16,2025-03-07
Bael,Aegle marmelos (L.) Correa,500700000001,Alluvial,Rainfed,Compost,Certified,Dry Spell,Sharecropped,No,Not Enrolled,Low,2024-07-13,2024-10-24
Banana,Musa spp.,500800000001,Saline,None,NPK,Local,Excess Rain,Sharecropped,No,Enrolled,High,2024-07-19,2024-11-27
Cashew,Anacardium occidental L.,501200000001,Alluvial,None,Compost,Local,Flood,Owned,No,Enrolled,Low,2024-07-09,2024-10-08
Coconut,Cocos nucifera L.,501400000001,Alluvial,Canal,NPK,Certified,Dry Spell,Leased,No,Enrolled,Low,2024-06-05,2024-10-25
Custard Apple,Annona squamosa L.,501500000001,Black,None,Vermicompost,Hybrid,Dry Spell,Leased,No,Not Enrolled,Medium,2024-10-24,2025-03-05
Grapes,Vitis unifera,501900000001,Laterite,Tube Well,Urea,Certified,Dry Spell,Sharecropped,No,Enrolled,None,2024-08-07,2024-11-20
Guava,Psidium guajava L.,502000000001,Alluvial,Drip,Urea,Hybrid,Normal,Owned,No,Enrolled,Low,2024-07-20,2024-10-26
Jackfruit,Artocarpus heterophyllus Lam.,502300000004,Black,River,DAP,Hybrid,Dry Spell,Owned,No,Enrolled,Low,2024-06-26,2024-10-28
Jamun,Syzygium cumini (L.) Skeels.,502400000001,Alluvial,Canal,DAP,Hybrid,Normal,Sharecropped,No,Not Enrolled,None,2024-10-04,2025-02-19
Mango,Mangifera indica L.,503200000001,Laterite,Rainfed,NPK,Hybrid,Normal,Sharecropped,Yes,Enrolled,None,2024-07-31,2024-12-25
Mulberry,Morus spp.,503400000001,Arid,None,Urea,Hybrid,Normal,Leased,Yes,Not Enrolled,High,2024-07-31,2024-11-18
Muskmelon,Cucumis melo L.,503500000001,Red,Canal,Compost,Local,Dry Spell,Sharecropped,No,Enrolled,Medium,2024-08-12,2024-11-22
Papaya,Carica papaya L.,503900000001,Alluvial,Canal,Compost,Certified,Normal,Sharecropped,Yes,Not Enrolled,None,2024-10-12,2025-01-20
Peach,Prunus persica L Batsch.,504100000001,Alluvial,Rainfed,Compost,Certified,Dry Spell,Sharecropped,Yes,Enrolled,High,2024-07-29,2024-11-08
Pineapple,Ananas comosus,504300000001,Red,Drip,Vermicompost,Hybrid,Dry Spell,Sharecropped,Yes,Not Enrolled,High,2024-07-15,2024-11-25
Pomegranate,Punica granatum L.,504500000001,Alluvial,Drip,NPK,Hybrid,Dry Spell,Leased,No,Not Enrolled,Medium,2024-08-30,2024-12-03
Sapota,Manilkara zapota,505000000001,Arid,Tube Well,DAP,Certified,Normal,Sharecropped,Yes,Enrolled,None,2024-06-29,2024-10-13
Strawberry,Fragaria x ananasan Duch.,505200000001,Laterite,Tube Well,Vermicompost,Certified,Flood,Sharecropped,No,Not Enrolled,Medium,2024-07-23,2024-11-01
Sweet Orange,Citrus sinensis (L.) Osbeck,505300000001,Arid,None,Urea,Certified,Normal,Sharecropped,Yes,Enrolled,None,2024-09-16,2025-01-16
Walnut,Juglans regia L.,505400000001,Black,None,Vermicompost,Hybrid,Normal,Owned,Yes,Enrolled,Low,2024-06-19,2024-10-03
Watermelon,Citrullus lanatus (Thunb.) Mansf.,505600000001,Arid,Tube Well,Urea,Hybrid,Normal,Leased,No,Not Enrolled,High,2024-06-19,2024-11-14
Elephant Foot Yam,Amorphophallus paeoniifolius,600100000001,Alluvial,Tube Well,Compost,Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,High,2024-08-19,2024-12-29
Greater Yam,Dioscorea alata L.,600300000001,Alluvial,River,Urea,Hybrid,Normal,Leased,Yes,Not Enrolled,None,2024-06-27,2024-10-05
Taro,Colocasia aculenta species Aculanta; Colocasia aculenta species Anticorum; Colocasia aculenta species Stoloniferum,600500000001,Arid,Canal,Compost,Certified,Drought,Leased,Yes,Not Enrolled,High,2024-07-27,2024-10-28
Ash Gourd,Benincasa hispida (Thunb.) Cogn.,700100000001,Red,Rainfed,Compost,Hybrid,Normal,Owned,No,Not Enrolled,Medium,2024-10-09,2025-02-24
Beetroot,Beta vulgaris,700200000001,Black,Drip,DAP,Local,Flood,Sharecropped,Yes,Enrolled,High,2024-09-08,2025-01-06
Bitter Gourd,Momordica charantia L.,700300000001,Laterite,Rainfed,Vermicompost,Hybrid,Dry Spell,Sharecropped,Yes,Enrolled,Medium,2024-07-29,2024-11-03
Bottle Gourd,Lagenaria siceraria (Mol.) Standl.,700400000001,Black,River,NPK,Hybrid,Flood,Leased,Yes,Enrolled,High,2024-06-04,2024-10-21
Brinjal,Solanum melongena L.,700500000001,Laterite,Tube Well,Organic,Local,Drought,Sharecropped,Yes,Not Enrolled,High,2024-08-02,2024-12-26
Broccoli,Brassica oleracea cv. italica,700600000001,Alluvial,Rainfed,Organic,Certified,Flood,Leased,Yes,Not Enrolled,Low,2024-07-12,2024-11-12
Cabbage,Brassica oleracea L. var capitata,700800000001,Saline,River,Organic,Local,Flood,Owned,Yes,Not Enrolled,None,2024-07-25,2024-11-07
Carrot,Daucus carota L.,700900000001,Black,None,DAP,Local,Normal,Sharecropped,Yes,Enrolled,Low,2024-09-07,2025-01-03
Cauliflower,Brassica oleracea L.var. botrytis,701000000001,Black,Drip,Urea,Hybrid,Dry Spell,Owned,Yes,Enrolled,None,2024-07-31,2024-11-15
Cluster Bean,Cyamopsis tetragonaloba L. Taub,701300000001,Alluvial,Canal,Urea,Certified,Normal,Owned,No,Not Enrolled,Low,2024-10-26,2025-01-30
Cucumber,Cucumis sativus L.,701400000001,Saline,Canal,Urea,Local,Drought,Sharecropped,No,Enrolled,None,2024-06-08,2024-10-14
Gilky,Luffa aegyptica,701500000001,Saline,Tube Well,DAP,Certified,Dry Spell,Owned,Yes,Not Enrolled,High,2024-09-19,2024-12-21
Ivy Gourd,Coccinia grandis (L.),701600000001,Arid,River,Urea,Local,Flood,Leased,No,Not Enrolled,None,2024-08-18,2024-11-18
Kohlrabi,Brassica oleracea var. gongylodes,701700000001,Black,Canal,NPK,Certified,Normal,Sharecropped,No,Not Enrolled,Low,2024-09-28,2025-01-21
Okra,Abelmoschus esculentus (L.) Moench.,701900000001,Arid,Drip,DAP,Local,Drought,Owned,No,Not Enrolled,Low,2024-10-07,2025-01-30
Onion,Allium cepa L.,702000000001,Red,River,Organic,Hybrid,Excess Rain,Sharecropped,Yes,Not Enrolled,High,2024-10-24,2025-02-13
Pointed Gourd,Trichosanthes dioica Roxb.,702100000001,Saline,Drip,Organic,Certified,Dry Spell,Owned,Yes,Not Enrolled,High,2024-09-22,2025-02-11
Popat,Lablab purpureus,702200000001,Alluvial,Canal,Urea,Hybrid,Normal,Sharecropped,No,Not Enrolled,High,2024-06-05,2024-09-08
Potato,Solanum tuberosum L.,702300000001,Saline,Rainfed,Vermicompost,Local,Excess Rain,Leased,No,Not Enrolled,Medium,2024-08-21,2024-12-10
Pumpkin,Cucurbita moschata Duch. ex Poir.,702400000001,Arid,River,Organic,Certified,Normal,Owned,No,Enrolled,Low,2024-09-08,2024-12-08
Radish,Raphanus sativus L.,702500000001,Alluvial,Drip,Vermicompost,Hybrid,Flood,Owned,No,Not Enrolled,None,2024-06-19,2024-10-21
Ridge Gourd,â€ŽLuffa acutangula (L.) Roxb.,702700000001,Red,Drip,DAP,Local,Normal,Leased,No,Enrolled,Medium,2024-08-29,2024-12-18
Snake Gourd,Trichosanthes anguina L.,702800000001,Arid,Canal,Urea,Hybrid,Normal,Owned,No,Not Enrolled,High,2024-10-14,2025-03-13
Spinach,Spinacia oleracea,702900000001,Alluvial,None,Compost,Local,Normal,Sharecropped,Yes,Not Enrolled,None,2024-06-17,2024-10-11
Spinach beet,Beta vulgaris var. bengalensis Roxb.,703000000001,Black,None,Compost,Certified,Flood,Sharecropped,Yes,Not Enrolled,None,2024-08-30,2025-01-12
Spiny Gourd / Akakara/ Bodakakara,Momordica dioica,703300000001,Saline,Drip,Vermicompost,Local,Flood,Owned,No,Enrolled,Low,2024-10-10,2025-01-23
Sword Bean,Canavalia gladiata,703500000001,Saline,Canal,Compost,Hybrid,Drought,Owned,No,Enrolled,High,2024-06-09,2024-11-05
Tomato,Lycopersion lycopersicum (L.) Karsten ex. Farw.,703600000001,Saline,Rainfed,Urea,Hybrid,Flood,Sharecropped,No,Enrolled,None,2024-08-16,2025-01-05
Turnips,Brassica rapa,703800000001,Laterite,Rainfed,Urea,Local,Drought,Owned,No,Not Enrolled,High,2024-06-10,2024-10-04
Vegetable Amaranth,Amaranthus tricolor L.,703900000001,Black,Canal,Organic,Hybrid,Drought,Leased,Yes,Not Enrolled,None,2024-08-14,2024-12-18
Castor,Ricinus communis L.,800200000001,Black,Rainfed,Urea,Hybrid,Flood,Leased,Yes,Not Enrolled,Low,2024-09-16,2025-01-30
Gobhi Sarson,Brassica napus L.,800300000001,Laterite,None,DAP,Local,Normal,Sharecropped,No,Not Enrolled,Low,2024-09-23,2025-02-02
Groundnut,Arachis hypogaea L.,800400000001,Saline,River,Compost,Hybrid,Normal,Sharecropped,Yes,Enrolled,Medium,2024-06-30,2024-10-30
Indian Mustard,Brassica juncea L. Czern & Coss,800500000001,Red,Rainfed,Organic,Certified,Dry Spell,Owned,Yes,Not Enrolled,Medium,2024-09-10,2025-01-10
Karan Rai,Brassica juncea L. Czern & Coss,800600000001,Black,Tube Well,Organic,Hybrid,Dry Spell,Sharecropped,No,Not Enrolled,None,2024-08-16,2024-12-21
Linseed,Linum usitatissimum L.,800700000001,Alluvial,Canal,Vermicompost,Local,Drought,Owned,No,Not Enrolled,Low,2024-06-19,2024-09-29
Nigerseed,Guizotia abyssinica,800800000001,Arid,None,Compost,Hybrid,Drought,Owned,Yes,Enrolled,Medium,2024-10-16,2025-02-04
Rapeseed,Brassica rapa; Brassica rapa syn. B. Campestris; Brassica rapa variety Brown mustard; Brassica rapa variety Yellow mustard; Brassica rapa variety Toria L.,800900000001,Alluvial,Canal,DAP,Hybrid,Flood,Leased,No,Enrolled,None,2024-10-05,2025-03-04
Safflower,Carthamus tinctorius L.,801000000001,Arid,River,Vermicompost,Hybrid,Drought,Sharecropped,Yes,Enrolled,High,2024-08-19,2024-11-27
Sesame,Sesamum indicum L.,801100000001,Arid,Tube Well,NPK,Certified,Dry Spell,Sharecropped,Yes,Enrolled,None,2024-09-16,2025-01-21
SOYBEAN,Glycine max (L.) Merrill,801200000001,Saline,Rainfed,NPK,Certified,Normal,Sharecropped,No,Enrolled,High,2024-07-02,2024-10-21
Sunflower,Helianthus annuus L.,801300000001,Saline,Rainfed,DAP,Hybrid,Excess Rain,Owned,Yes,Not Enrolled,High,2024-07-19,2024-10-18
Diploid Cotton,Gossypium arboreum L.; Gossypium herbaceum L.,900100000001,Red,Drip,NPK,Local,Flood,Owned,No,Enrolled,Medium,2024-10-23,2025-01-26
Jute,Corchorus olitorius L.; Corchorus capsularis L .,900200000001,Laterite,River,NPK,Local,Drought,Owned,Yes,Enrolled,Low,2024-07-07,2024-11-08
Sunnhemp,Crotalaria juncea L.,900400000001,Black,Tube Well,Vermicompost,Hybrid,Drought,Sharecropped,No,Enrolled,None,2024-10-02,2025-02-20
Tetraploid Cotton,Gossypium hirsutum L.; Gossypium barbadense L.,900500000001,Alluvial,None,Vermicompost,Certified,Dry Spell,Owned,No,Enrolled,None,2024-08-08,2024-11-16
Cassava,Manihot esculenta Crantz.,1000100000001,Laterite,Canal,NPK,Hybrid,Flood,Owned,No,Enrolled,Low,2024-07-14,2024-11-27
Guarseed; Cluster Bean,Cyamopsis tetragonoloba,1000200000001,Arid,Rainfed,DAP,Local,Normal,Owned,No,Enrolled,None,2024-10-10,2025-02-07
Jatropha,Jatropha curcas L.,1000400000001,Arid,Canal,Organic,Local,Drought,Sharecropped,Yes,Enrolled,Medium,2024-07-11,2024-11-05
Sweet Potato,Ipomoea batatas (L.) Lam,1000600000001,Arid,Tube Well,Urea,Hybrid,Dry Spell,Leased,No,Not Enrolled,High,2024-08-10,2025-01-01
Tobacco,Nicotiana tabacum (L.),1000801000001,Alluvial,Rainfed,NPK,Local,Dry Spell,Sharecropped,Yes,Enrolled,None,2024-07-30,2024-11-11
Alfalfa,Medicago sativa,1100100000001,Arid,Drip,Vermicompost,Hybrid,Dry Spell,Leased,No,Enrolled,High,2024-08-31,2024-12-08
Barseem,Trifolium alexandrinum,1100200000001,Arid,Canal,DAP,Certified,Dry Spell,Leased,No,Not Enrolled,Medium,2024-08-14,2024-12-08
Dhaincha,Sesbania cannabina,1100300000001,Saline,Rainfed,Organic,Certified,Dry Spell,Sharecropped,No,Enrolled,Medium,2024-10-20,2025-02-07
Dinanath Grass,Pennisetum pedicellatum,1100400000001,Laterite,None,DAP,Hybrid,Dry Spell,Leased,No,Not Enrolled,None,2024-06-15,2024-09-30
Guinea Grass,Panicum maximum L.,1100500000001,Arid,Tube Well,Urea,Local,Excess Rain,Owned,No,Enrolled,Low,2024-07-02,2024-11-25
Napier Grass,Pennisetum purpureum,1100800000001,Arid,Tube Well,Urea,Local,Normal,Sharecropped,Yes,Enrolled,Medium,2024-09-11,2024-12-25
Arecanut,Areca catechu L.,1200100000001,Saline,River,Vermicompost,Certified,Flood,Sharecropped,No,Enrolled,Low,2024-06-26,2024-11-02
Oil Palm,Elaeis guineensis,1200900000001,Laterite,Canal,Organic,Local,Dry Spell,Sharecropped,Yes,Not Enrolled,Medium,2024-08-29,2024-12-29
Tea,Camellia sinensis; Camellia assamica; C.assamica ssp lasiocalyx.,1201200000001,Alluvial,None,DAP,Certified,Drought,Sharecropped,No,Enrolled,None,2024-08-08,2024-12-20
Carnation,Dianthus caryophyllus L.,1300700000001,Red,None,NPK,Local,Drought,Leased,No,Enrolled,Low,2024-09-03,2024-12-26
China Aster,Callistephus chinensis (L.)Nees.,1301000000001,Black,Tube Well,DAP,Hybrid,Excess Rain,Leased,Yes,Not Enrolled,None,2024-09-27,2025-01-12
Chrysanthemum,Chrysanthemum spp.,1301100000001,Arid,Canal,NPK,Local,Excess Rain,Leased,Yes,Not Enrolled,High,2024-06-04,2024-10-08
Gladioulus,Gladioulus L.,1301900000001,Red,Tube Well,Vermicompost,Hybrid,Drought,Sharecropped,No,Not Enrolled,None,2024-07-18,2024-12-07
Marigold,Tagetesspp. L.,1302900000001,Red,River,DAP,Hybrid,Flood,Leased,No,Enrolled,Low,2024-09-30,2025-02-05
Orchid,Cymbidium; Dendrobium; Vanda; Cattleya Lindl.; Phalaenopsis Blume; Oncidium SW; Paphiopedilum Pfitz.,1303000000001,Laterite,Canal,Organic,Local,Flood,Leased,Yes,Not Enrolled,None,2024-07-15,2024-10-15
Rose,Rosa spp.,1303200000001,Black,Canal,Vermicompost,Local,Flood,Owned,No,Not Enrolled,Medium,2024-07-11,2024-11-12
Roselle,Hibiscus sabdariffa,1303300000001,Red,River,NPK,Local,Normal,Owned,No,Enrolled,Medium,2024-10-01,2025-02-09
Tuberose,Polianthes tuberose L.,1303400000001,Alluvial,Drip,Vermicompost,Hybrid,Excess Rain,Sharecropped,No,Enrolled,High,2024-09-04,2025-01-17
Menthol mint,Mentha arvensis L.,1404800000001,Arid,River,DAP,Certified,Normal,Sharecropped,Yes,Not Enrolled,Low,2024-07-05,2024-10-14
Poppy,Papaver somniferum,1405400000001,Laterite,Rainfed,Compost,Certified,Normal,Leased,Yes,Not Enrolled,Low,2024-08-03,2024-12-31
Casurina,Casuarina equisetifolia L.; Casuarina junghuhniana Miq.,1500900000001,Black,Tube Well,Vermicompost,Hybrid,Normal,Leased,Yes,Not Enrolled,None,2024-10-29,2025-01-31
Eucalyptus,Eucalyptus comaldulesis Dehnh.; Eucalyptus tereticornis Sm.,1501200000001,Black,Canal,Urea,Hybrid,Flood,Owned,Yes,Not Enrolled,None,2024-06-13,2024-10-09
Neem,Azadirachta indica A. Juss.,1502800000001,Laterite,Drip,Compost,Local,Excess Rain,Leased,Yes,Enrolled,High,2024-06-28,2024-10-06
Groundnut,Arachis hypogaea,G6539,Red,Rainfed,Organic,Local,Normal,Sharecropped,No,Enrolled,Medium,2024-08-13,2024-12-12
Jowar,Sorghum bicolor,J6828,Black,None,Potash,Local,Flood,Owned,Yes,Enrolled,Low,2024-07-09,2024-11-16
Potato,Solanum tuberosum,P8250,Arid,None,Potash,Hybrid,Excess Rain,Owned,No,Not Enrolled,Medium,2024-11-30,2025-04-20
Gram,Cicer arietinum,G6198,Loamy,Rainfed,Vermicompost,Certified,Dry Spell,Owned,Yes,Enrolled,Low,2024-06-13,2024-10-31
Millet,Various,M2676,Arid,Canal,Vermicompost,F1 Hybrid,Heatwave,Leased,Yes,Not Enrolled,High,2024-06-27,2024-12-05
Bajra,Pennisetum glaucum,B9950,Loamy,Sprinkler,Compost,F1 Hybrid,Drought,Owned,Yes,Enrolled,Low,2024-06-10,2024-09-26
Tur,Cajanus cajan,T9002,Clayey,None,Compost,Local,Drought,Owned,No,Enrolled,High,2024-07-25,2024-11-05
Onion,Allium cepa,O5414,Arid,Sprinkler,Vermicompost,F1 Hybrid,Flood,Sharecropped,No,Not Enrolled,None,2024-07-04,2024-10-12
Bajra,Pennisetum glaucum,B5551,Alluvial,River,Urea,Certified,Excess Rain,Owned,Yes,Not Enrolled,None,2025-02-05,2025-07-18
Tur,Cajanus cajan,T4538,Black,River,Potash,F1 Hybrid,Heatwave,Leased,No,Enrolled,None,2024-09-14,2025-01-29
Cotton,Gossypium hirsutum,C3620,Clayey,River,Organic,Certified,Excess Rain,Leased,No,Enrolled,Low,2024-11-13,2025-03-29
Tur,Cajanus cajan,T9605,Red,Drip,Organic,Hybrid,Flood,Sharecropped,No,Enrolled,High,2024-11-24,2025-04-29
Cotton,Gossypium hirsutum,C4431,Laterite,Canal,NPK,F1 Hybrid,Flood,Sharecropped,Yes,Not Enrolled,Medium,2025-03-08,2025-06-24
Potato,Solanum tuberosum,P9823,Laterite,None,NPK,Local,Normal,Leased,No,Enrolled,High,2024-09-06,2024-12-21
Rice,Oryza sativa,R4177,Saline,Sprinkler,NPK,Certified,Dry Spell,Leased,Yes,Enrolled,Low,2024-10-18,2025-04-09
Cotton,Gossypium hirsutum,C2475,Loamy,Drip,Potash,Local,Dry Spell,Owned,No,Enrolled,Low,2024-12-02,2025-04-28
Potato,Solanum tuberosum,P8927,Loamy,Sprinkler,Organic,Certified,Excess Rain,Sharecropped,Yes,Not Enrolled,None,2024-12-31,2025-06-15
Jowar,Sorghum bicolor,J1301,Alluvial,Rainfed,Organic,Local,Normal,Owned,Yes,Not Enrolled,High,2024-06-25,2024-10-08
Gram,Cicer arietinum,G7710,Arid,Canal,DAP,F1 Hybrid,Flood,Sharecropped,No,Not Enrolled,Low,2025-03-08,2025-08-18
Rice,Oryza sativa,R7355,Black,Sprinkler,DAP,Local,Drought,Sharecropped,Yes,Enrolled,Low,2024-09-22,2025-01-30
Jowar,Sorghum bicolor,J8272,Clayey,Canal,NPK,Certified,Heatwave,Sharecropped,Yes,Enrolled,Low,2024-09-26,2025-03-20
Jowar,Sorghum bicolor,J7959,Alluvial,Tube Well,Potash,Certified,Drought,Leased,No,Not Enrolled,Medium,2024-12-12,2025-05-06
Sugarcane,Saccharum officinarum,S1228,Saline,Drip,Urea,Certified,Dry Spell,Owned,No,Not Enrolled,Medium,2024-06-16,2024-11-17
Groundnut,Arachis hypogaea,G1805,Arid,Drip,Compost,Local,Heatwave,Leased,No,Not Enrolled,None,2024-11-19,2025-03-17
Jowar,Sorghum bicolor,J2211,Loamy,Drip,DAP,Local,Excess Rain,Leased,No,Not Enrolled,High,2024-10-10,2025-04-05
